codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
12264,12263,Eletrônica,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação > Eletrônica
12265,12264,Expedida/certificada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação > Eletrônica > Expedida/certificada
12266,12264,Confirmada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação > Eletrônica > Confirmada
12267,12263,Em audiência,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação > Em audiência
12268,12263,Em Secretaria,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Intimação > Em Secretaria
12269,48,Desentranhamento,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Desentranhamento
12270,12269,Documento,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Desentranhamento > Documento
12271,12269,Petição,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Desentranhamento > Petição
12272,12198,Declinada a competência,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Declinada a competência
12273,12198,Convertido em diligência,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Convertido em diligência
12274,12198,Sobrestado,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Sobrestado
12275,12198,Retificado,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Deliberado em Sessão > Retificado
12276,48,Cumprimento da pena,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento da pena
12277,12276,Início,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento da pena > Início
12278,12276,Fim,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento da pena > Fim
12279,12276,Fim,I,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento da pena > Fim
12280,12276,Interrupção,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento da pena > Interrupção
12281,48,Comunicação eletrônica,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Comunicação eletrônica
12282,12281,Expedida/Certificada,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Comunicação eletrônica > Expedida/Certificada
12283,12281,Confirmada,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Comunicação eletrônica > Confirmada
12284,48,Citação,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação
12285,12284,Em Secretaria/Comparecimento Espontâneo,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação > Em Secretaria/Comparecimento Espontâneo
12286,12284,Eletrônica,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação > Eletrônica
12287,12286,Expedida/Certificada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação > Eletrônica > Expedida/Certificada
12288,12286,Confirmada,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Citação > Eletrônica > Confirmada
12289,48,Cancelamento,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cancelamento
12290,12289,Documento Expedido,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cancelamento > Documento Expedido
12291,12289,Movimentação processual,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cancelamento > Movimentação processual
12292,48,Ato cumprido pela parte ou interessado,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado
12293,12292,Ato cumprido pela parte ou interessado (sem atributo),A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Ato cumprido pela parte ou interessado (sem atributo)
12294,12292,Comparecimento do Réu/Apenado,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Comparecimento do Réu/Apenado
12295,12292,Depósito de Bens/Dinheiro,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Depósito de Bens/Dinheiro
12296,18,Registro Processual,A,3,False,Serventuário > Distribuidor > Registro Processual
12297,18,Atribuição de competência,A,3,False,Serventuário > Distribuidor > Atribuição de competência
12298,456,Cancelamento de Dívida Ativa,A,5,False,Magistrado > Julgamento > Sem Resolução de Mérito > Extinção > Cancelamento de Dívida Ativa
12299,3,Prorrogação de cumprimento de pena/medida de segurança,A,3,False,Magistrado > Decisão > Prorrogação de cumprimento de pena/medida de segurança
12300,3,Nomeação,A,3,True,Magistrado > Decisão > Nomeação
12301,12300,Advogado Voluntário,A,4,False,Magistrado > Decisão > Nomeação > Advogado Voluntário
12302,12300,Curador,A,4,False,Magistrado > Decisão > Nomeação > Curador
12303,12300,Defensor Dativo,A,4,False,Magistrado > Decisão > Nomeação > Defensor Dativo
